Godzina,Segment_Tradycyjny_kWh,Segment_Prosument_PV_kWh,Segment_Posiadacz_EV_kWh
00:00,0.31,0.46,5.25
01:00,0.48,0.5,4.91
02:00,0.38,0.49,4.97
03:00,0.41,0.69,5.13
04:00,0.39,0.48,5.3
05:00,0.55,0.46,4.69
06:00,1.31,0.53,0.36
07:00,1.19,0.32,0.17
08:00,1.27,0.47,0.57
09:00,0.49,0.51,0.42
10:00,0.26,-1.54,0.15
11:00,0.32,-1.26,0.14
12:00,0.32,-1.44,0.12
13:00,0.6,-1.58,0.2
14:00,0.3,-1.53,0.45
15:00,0.51,-1.49,0.13
16:00,0.32,0.45,0.56
17:00,2.55,0.57,0.51
18:00,2.47,2.01,1.52
19:00,2.52,1.94,1.88
20:00,2.49,1.95,1.52
21:00,2.31,2.02,1.16
22:00,2.51,2.08,1.75
23:00,0.27,1.96,5.11
METADANE_BIZNESOWE,Potencjał optymalizacji: Wysoki. Brak elastyczności.,Gotowość na taryfę dynamiczną: Bardzo wysoka.,Zagrożenie: Obciążają sieć w nocy. Szansa: DSR w ciągu dnia.
