Time,Sun_Production_MW,Wind_Production_MW,Price_RCE_PLN
00:00,0.0,2659.9,280.81
01:00,0.0,2444.82,306.62
02:00,0.0,1433.51,427.98
03:00,0.0,2216.64,334.0
04:00,0.0,2269.58,327.65
05:00,0.0,1847.96,378.24
06:00,149.94,1286.72,427.6
07:00,767.92,1006.59,387.06
08:00,1760.3,1001.16,268.62
09:00,2162.13,1464.44,164.81
10:00,3121.07,921.76,-35.14
11:00,3297.64,879.99,-51.32
12:00,3432.38,878.64,-67.32
13:00,3470.78,928.71,-77.94
14:00,3278.53,1215.01,-89.22
15:00,2568.85,610.08,218.53
16:00,1761.07,1105.89,255.96
17:00,813.83,1577.35,313.06
18:00,23.34,1634.37,401.08
19:00,0.0,1212.49,454.5
20:00,0.0,1806.92,383.17
21:00,0.0,2013.26,358.41
22:00,0.0,2326.13,320.86
23:00,0.0,1359.65,436.84
